#,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_per_1M_pop,deaths_per_1M_pop,total_tests,tests_per_1M_pop,population
181,Bhutan,62,,,,20,42,,80,,"20,612","26,728","771,167"
182,Botswana,60,+12,1,,24,35,1,26,0.4,"26,800","11,409","2,348,927"
183,French Polynesia,60,,,,60,0,,214,,"4,262","15,177","280,828"
184,Macao,45,,,,45,0,,69,,,,"648,863"
185,Saint Martin,42,,3,,36,3,1,"1,087",78,685,"17,732","38,630"
186,Eritrea,41,,,,39,2,,12,,,,"3,543,797"
187,Namibia,32,+1,,,17,15,1,13,,"5,682","2,238","2,538,340"
188,Gambia,28,,1,,22,5,,12,0.4,"1,970",817,"2,412,511"
189,St. Vincent Grenadines,27,,,,25,2,,243,,643,"5,797","110,923"
190,Antigua and Barbuda,26,,3,,20,3,1,266,31,489,"4,996","97,888"
191,Timor-Leste,24,,,,24,0,,18,,"1,568","1,191","1,317,033"
192,Grenada,23,,,,22,1,1,204,,"4,130","36,712","112,498"
193,Curaçao,22,,1,,15,6,,134,6,"1,080","6,583","164,061"
194,New Caledonia,21,,,,20,1,,74,,"7,582","26,570","285,357"
195,Belize,20,,2,,16,2,,50,5,"1,776","4,471","397,225"
196,Laos,19,,,,19,0,,3,,"9,703","1,335","7,269,879"
197,Saint Lucia,19,,,,18,1,,103,,"1,264","6,885","183,586"
198,Dominica,18,,,,16,2,,250,,534,"7,419","71,978"
199,Fiji,18,,,,18,0,,20,,"2,431","2,713","896,120"
200,Saint Kitts and Nevis,15,,,,15,0,,282,,417,"7,841","53,180"
201,Falkland Islands,13,,,,13,0,,"3,742",,671,"193,149","3,474"
202,Greenland,13,,,,13,0,,229,,"2,511","44,235","56,765"
203,Turks and Caicos,12,,1,,11,0,,310,26,192,"4,963","38,689"
204,Vatican City,12,,,,12,0,,"14,981",,,,801
205,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992"
206,Seychelles,11,,,,11,0,,112,,,,"98,317"
207,MS Zaandam,9,,2,,,7,,,,,,
208,Western Sahara,9,,1,,6,2,,15,2,,,"596,469"
209,British Virgin Islands,8,,1,,7,0,,265,33,212,"7,015","30,221"
210,Papua New Guinea,8,,,,8,0,,0.9,,"5,281",591,"8,937,501"
211,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,176","26,211"
212,St. Barth,6,,,,6,0,,608,,152,"15,391","9,876"
213,Lesotho,4,,,,2,2,,2,,"1,515",707,"2,141,394"
214,Anguilla,3,,,,3,0,,200,,41,"2,734","14,996"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,795"
